project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
3105 NORTHEAST DR,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 1: New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Garage. 3105 Northeast Dr.",2026-05-09,1,2,3105 NORTHEAST DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13588334,3105 NORTHEAST DRIVE,NA,Austin,Texas,United States,1,30.310113,-97.673295,1,rooftop,3105 Northeast Dr,NA,"Austin, TX 78723",NA,3105,Northeast Dr,NA,NA,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usncy2ydylphv7eeducdn8entb2n5,building_centroid
4900 EASTON LN,Cascade 330-T-L Is a New one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-06-02,1,1,4900 EASTON LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711496,4900 EASTON LANE,NA,Austin,Texas,United States,1,30.180653,-97.620185,1,rooftop,4900 Easton Ln,NA,"Del Valle, TX 78617",NA,4900,Easton Ln,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usnzn3jeqtedc7s34rgkwnc5net9a,building_centroid
5808 VAN WINKLE LN,"Two Stry Res W/Breezway Att Gar&Covered Porch

5/22/26 Life safety inspection to occur for purposes of establishing CO.",2026-05-22,1,2,5808 VAN WINKLE LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=630385,5808 VAN WINKLE LANE,NA,Austin,Texas,United States,1,30.194584,-97.881616,1,rooftop,5808 Van Winkle Ln,NA,"Austin, TX 78739",NA,5808,Van Winkle Ln,NA,NA,Austin,TX,NA,Travis County,78739,US,NA,City of Austin (Public Domain),gcod_usndkbaz7yrtrgecdtb6axkheunw4,building_centroid
9512 WIGGY WAY,New construction single-family residential 1-story 4 bedroom 3 bedroom with attached 3-car garage covered front porch and covered rear patio.,2026-05-21,1,1,9512 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707959,9512 WIGGY WAY,NA,Austin,Texas,United States,1,30.140948,-97.707582,1,rooftop,9512 Wiggy Way,NA,"Austin, TX 78744",NA,9512,Wiggy Way,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnttj9eyv6bg9a8ddh8pjl62esk4,building_centroid
1207 DWYCE DR,ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 4bath] with attached garage,2026-05-15,1,2,1207 DWYCE DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704977,1207 DWYCE DRIVE,NA,Austin,Texas,United States,1,30.338694,-97.725153,1,rooftop,1207 Dwyce Dr,NA,"Austin, TX 78757",NA,1207,Dwyce Dr,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnavuppkvjwjgjfu3btul5wwwlpb,building_centroid
6400 LAUTNER LN,"New construction of 2 story sfr condo with 3 beds 2.5 baths and attached 2 car garage

PUD",2026-05-11,1,2,6400 LAUTNER LN,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700350,6400 LAUTNER LANE,NA,Austin,Texas,United States,1,30.148457,-97.753646,1,rooftop,6400 Lautner Ln,NA,"Austin, TX 78747",NA,6400,Lautner Ln,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn5lyvjhvb3klm5s3ew572ykcfd3,building_centroid
11212 KOKO CAYUSE TRL,*PB* New construction of 2 Story SFR with attached garage and covered patio and porch 4/3,2026-05-20,1,2,11212 KOKO CAYUSE TRL,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704677,11212 KOKO CAYUSE TRAIL,NA,Austin,Texas,United States,1,30.331251,-97.569883,1,rooftop,11212 Koko Cayuse Trl,NA,"Manor, TX 78653",NA,11212,Koko Cayuse Trl,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usnglvkxexganfr483s36w322l7n2,building_centroid
7205 EAGLE ROSE RD,"New 1-story single family residence 3 bedrooms/2 bathrooms attached garage covered porch and patio

PUD",2026-05-05,1,1,7205 EAGLE ROSE RD,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698547,7205 EAGLE ROSE ROAD,NA,Austin,Texas,United States,1,30.150304,-97.729594,1,rooftop,7205 Eagle Rose Rd,NA,"Austin, TX 78744",NA,7205,Eagle Rose Rd,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,Capcog (Capital Area Council of Governments),gcod_usns9kxws6xu3yzbdjbh4edzp4up4,NA
6311 ROTUNDA VW,"New construction of sfr with 3 beds 2 baths 2 car garage alley access

PUD",2026-05-24,1,1,6311 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708393,6311 ROTUNDA VW,NA,Austin,Texas,United States,1,30.144169,-97.75292,1,rooftop,6311 Rotunda Vw,NA,"Austin, TX 78747",NA,6311,Rotunda Vw,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnukzy5je763jl72dp88pbv8bh9a,building_centroid
4816 ABERDEEN DR BLDG 2,Bldg 2 New Construction of  3-Story Single Family Res. [3bed 2.5bath],2026-05-21,1,3,4816 ABERDEEN DR BLDG 2,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707328,4816 ABERDEEN DRIVE BLDG 2,NA,Austin,Texas,United States,1,30.216646,-97.780235,1,rooftop,4816 Aberdeen Dr,Bldg 2,"Austin, TX 78745",NA,4816,Aberdeen Dr,Bldg,2,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnndqxb5bnyj3f5jvperr7vt6esc-8krdqxfjb27t2,building_centroid
12183 WINDY RIDGE RD,New 2-story single family residence 4 bed/3.5 bath attached garage covered patio and porch water service by well and septic for WW.,2026-05-06,1,2,12183 WINDY RIDGE RD,78726,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13668818,12183 WINDY RIDGE ROAD,NA,Austin,Texas,United States,1,30.452804,-97.834028,1,rooftop,12183 Windy Ridge Rd,NA,"Austin, TX 78726",NA,12183,Windy Ridge Rd,NA,NA,Austin,TX,NA,Travis County,78726,US,NA,City of Austin (Public Domain),gcod_usnvt8uzffd45szgv6frdkv6tnh56,building_centroid
1708 COLLIER ST BLDG 1,Bldg 1: New construction of 3 story SFR 3 bedroom 2.5 bath w/ covered porch and patio,2026-06-03,1,3,1708 COLLIER ST BLDG 1,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708640,1708 COLLIER STREET BLDG 1,NA,Austin,Texas,United States,1,30.254229,-97.769214,1,rooftop,1708 Collier St,Bldg 1,"Austin, TX 78704",NA,1708,Collier St,Bldg,1,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnscfmzxwsehg7ftj4yh39d4u725-h5msnsageh9pa,building_centroid
1812 MARGARET ST UNIT A,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [4bed 4bath]. Unit A,2026-05-01,1,2,1812 MARGARET ST UNIT A,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695853,1812 MARGARET STREET UNIT A,NA,Austin,Texas,United States,1,30.257898,-97.768426,1,rooftop,1812 Margaret St,Unit A,"Austin, TX 78704",NA,1812,Margaret St,Unit,A,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usn6gb8alhvlpvf7per7p89ncqcv8-ugx2b693esq35,building_centroid
1508 MADISON AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic and Attached Carport.,2026-05-22,1,2,1508 MADISON AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13709157,1508 MADISON AVE,NA,Austin,Texas,United States,1,30.34488,-97.726288,1,rooftop,1508 Madison Ave,NA,"Austin, TX 78757",NA,1508,Madison Ave,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnxgyehe9jvgcwhvsytnwa3lktb2,building_centroid
8000 BIRD SONG CIR,*PRODUCTION BUILDER- CONDO* - New construction of a 2-story single family dwelling in a condo regime. Duplex 3 bedroom 2.5 bath with attached garage (Unit A),2026-05-04,1,2,8000 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696875,8000 BIRD SONG CIR,NA,Austin,Texas,United States,1,30.190507,-97.809103,1,rooftop,8000 Bird Song Cir,NA,"Austin, TX 78745",NA,8000,Bird Song Cir,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usn6p7k2cunalna7vzsjxd7nwal7d,building_centroid
9701 MURMURING CREEK DR BLDG 2,New 1-story 2 bedroom 1 bathroom dwelling unit.,2026-05-12,1,1,9701 MURMURING CREEK DR BLDG 2,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13701290,9701 MURMURING CREEK DRIVE BLDG 2,NA,Austin,Texas,United States,1,30.248955,-97.913522,1,rooftop,9701 Murmuring Creek Dr,Bldg 2,"Austin, TX 78736",NA,9701,Murmuring Creek Dr,Bldg,2,Austin,TX,NA,Travis County,78736,US,NA,City of Austin (Public Domain),gcod_usn9leqrpze4tp785y4qs92ae68na-8fcfegrhc48m7,building_centroid
13208 KEEFER DR,Randall 3314 C Right New - 2 Story SFR CONDOMINUM w/ 3 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 681.34 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 30-9 Actual Bld height: 30-9 required parking: 2.,2026-05-01,1,2,13208 KEEFER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694452,13208 KEEFER DRIVE,NA,Austin,Texas,United States,1,30.114887,-97.815671,1,rooftop,13208 Keefer Dr,NA,"Manchaca, TX 78652",NA,13208,Keefer Dr,NA,NA,Manchaca,TX,NA,Travis County,78652,US,NA,City of Austin (Public Domain),gcod_usn54wzg8rnajmk7whwlbjs39ncm2,building_centroid
9405 CORVALLIS DR,Eastland S352 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-30,1,1,9405 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711583,9405 CORVALLIS DRIVE,NA,Austin,Texas,United States,1,30.142384,-97.734563,1,rooftop,9405 Corvallis Dr,NA,"Austin, TX 78747",NA,9405,Corvallis Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnkdzl7bdw4gkj9692xepqam3uac,building_centroid
17110 RADIANT DR,"New construction of 1 story SFR 4 beds 2 baths

PUD",2026-05-08,1,1,17110 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13614971,17110 RADIANT DRIVE,NA,Austin,Texas,United States,1,30.287208,-97.552217,1,rooftop,17110 Radiant Dr,NA,"Manor, TX 78653",NA,17110,Radiant Dr,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usn39tfev7gc77vegxxty4g56zjbe,building_centroid
8106 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8104 and 8106 Bird Song) - Unit B,2026-04-29,1,2,8106 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694427,8106 BIRD SONG CIR,NA,Austin,Texas,United States,1,30.189394,-97.809583,1,rooftop,8106 Bird Song Cir,NA,"Austin, TX 78745",NA,8106,Bird Song Cir,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usn6p7k2cunalna7sm6vpw8yfejp4,building_centroid
4115 AVENUE D,ePlan: Commercial Expedited Review - New Construction of FourPlex- Retroactive Permitting to work completed without permits (3585 SF),2026-05-28,4,2,4115 AVENUE D,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711280,4115 AVENUE D,NA,Austin,Texas,United States,1,30.305437,-97.731284,1,rooftop,4115 Ave D,NA,"Austin, TX 78751",NA,4115,Ave D,NA,NA,Austin,TX,NA,Travis County,78751,US,NA,Statewide (CC 0 Texas Natural Resources Information System),gcod_usnvj5x6vab9q426v6x8rdpcnjpre,NA
7604 MULLEN DR,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [5bed 4bath] with Attached Garage.,2026-05-08,1,1,7604 MULLEN DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688433,7604 MULLEN DRIVE,NA,Austin,Texas,United States,1,30.350488,-97.728396,1,rooftop,7604 Mullen Dr,NA,"Austin, TX 78757",NA,7604,Mullen Dr,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnkwfxgf7nbamy599klad3s9nhu9,building_centroid
8019 ERMIS FARM RD,New 2-story single family dwelling condo 4 Bed/3.5 bath with attached garage and covered patio,2026-05-04,1,2,8019 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696939,8019 ERMIS FARM ROAD,NA,Austin,Texas,United States,1,30.189468,-97.808795,1,rooftop,8019 Ermis Farm Rd,NA,"Austin, TX 78745",NA,8019,Ermis Farm Rd,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxdupl7ry2kwt7jmdkpexan6wm3,building_centroid
4812 BRIDWELL LN,New single family residence with 4 bedrooms 3 bathrooms and attached garage and covered patio,2026-04-29,1,1,4812 BRIDWELL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13693217,4812 BRIDWELL LANE,NA,Austin,Texas,United States,1,30.352574,-97.635966,1,rooftop,4812 Bridwell Ln,NA,"Austin, TX 78754",NA,4812,Bridwell Ln,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usnlaexsrc8dnxvbc3fybnhyx2smd,building_centroid
8737 BIRMINGHAM DR,new construction - new 19x14 single story closed structure that will be on pier and beam foundation. electric is needed for outlets and lights as well as a mini split system.,2026-05-19,1,1,8737 BIRMINGHAM DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704658,8737 BIRMINGHAM DRIVE,NA,Austin,Texas,United States,1,30.179155,-97.806245,1,rooftop,8737 Birmingham Dr,NA,"Austin, TX 78748",NA,8737,Birmingham Dr,NA,NA,Austin,TX,NA,Travis County,78748,US,NA,City of Austin (Public Domain),gcod_usneds49hgzqdke9arjp5y2derhvg,building_centroid
1704 MIRIAM AVE UNIT 1B,Unit 1B: New construction three-unit use duplex residential: Unit 1B: 3 bedroom 3 bath.,2026-05-20,1,2,1704 MIRIAM AVE UNIT 1B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704072,1704 MIRIAM AVE UNIT 1B,NA,Austin,Texas,United States,1,30.279591,-97.711368,1,rooftop,1704 Miriam Ave,Unit 1B,"Austin, TX 78702",NA,1704,Miriam Ave,Unit,1B,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usnvm8pj9uc8fen6m6377upxrxd3a-bn6ghdpudfcs6,building_centroid
4807 NATIVE PEARL LN,New single family residence - 2 story 3 bed/2.5 bath 2335 sqft living with attached garage,2026-06-02,1,2,4807 NATIVE PEARL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712252,4807 NATIVE PEARL LANE,NA,Austin,Texas,United States,1,30.353471,-97.635707,1,rooftop,4807 Native Pearl Ln,NA,"Austin, TX 78754",NA,4807,Native Pearl Ln,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usnmfxnrluaqd4633zzv3lcsgxskh,building_centroid
6403 ROTUNDA VW,New 2 Story SFR 4 bed 3 bath 2 care garage alley access,2026-06-03,1,2,6403 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13714290,6403 ROTUNDA VW,NA,Austin,Texas,United States,1,30.14387,-97.752752,1,rooftop,6403 Rotunda Vw,NA,"Austin, TX 78747",NA,6403,Rotunda Vw,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnukzy5je763jl74vuxa2fyz5788,building_centroid
1801 FAIR OAKS DR UNIT A,UNIT A: New 2-story 3 bedroom 2.5 bathroom duplex residence with attached carport covered front porch and rear covered patio.,2026-05-22,1,2,1801 FAIR OAKS DR UNIT A,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708683,1801 FAIR OAKS DRIVE UNIT A,NA,Austin,Texas,United States,1,30.218224,-97.79336,1,rooftop,1801 Fair Oaks Dr,Unit A,"Austin, TX 78745",NA,1801,Fair Oaks Dr,Unit,A,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnpty9sj9wh7uz3pwy89jhf9dzuf-qqdw7ant6gdyf,building_centroid
1911 PASADENA DR,ePlan: Residential Expedited Review - New Construction of 2-Story Single Family Res [5bed 4.5bath] with Habitable Attic  and attached garage,2026-05-07,1,2,1911 PASADENA DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700012,1911 PASADENA DRIVE,NA,Austin,Texas,United States,1,30.347706,-97.730916,1,rooftop,1911 Pasadena Dr,NA,"Austin, TX 78757",NA,1911,Pasadena Dr,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnxesgvpqnajdl4xca86x5b3cjh8,building_centroid
605 E 55TH ST BLDG 2,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 2",2026-05-11,1,2,605 E 55TH ST BLDG 2,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700453,605 EAST 55TH STREET BLDG 2,NA,Austin,Texas,United States,1,30.317744,-97.715812,1,rooftop,605 E 55th St,Bldg 2,"Austin, TX 78751",NA,605,E 55th St,Bldg,2,Austin,TX,NA,Travis County,78751,US,NA,City of Austin (Public Domain),gcod_usn2ccn3qyxjstq749pp9yztgq63a-cpjhjjdz9baz2,building_centroid
5001 PECAN SPRINGS RD BLDG 8,SP Condo: New 3 story single family residence with 3 bedrooms 3.5 baths covered patio and 2 car garage,2026-05-11,1,3,5001 PECAN SPRINGS RD BLDG 8,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700966,5001 PECAN SPRINGS ROAD BLDG 8,NA,Austin,Texas,United States,1,30.294255,-97.681378,1,rooftop,5001 Pecan Springs Rd,Bldg 8,"Austin, TX 78723",NA,5001,Pecan Springs Rd,Bldg,8,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn8pv8mxsffklhfg7swb46v74na2-nseq35vdy4vb3,building_centroid
902 W JOHANNA ST BLDG 1,Building 1 Home: New construction of two-unit residential homes.,2026-05-08,1,2,902 W JOHANNA ST BLDG 1,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13687928,902 WEST JOHANNA STREET BLDG 1,NA,Austin,Texas,United States,1,30.247219,-97.761463,1,rooftop,902 W Johanna St,Bldg 1,"Austin, TX 78704",NA,902,W Johanna St,Bldg,1,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usngmmwx478p7f6a3f8mjs5y5dqc4-hl9f2dl6mmple,building_centroid
8013 ERMIS FARM RD,PB Condo: New construction of a 2-story single family dwelling in a condo regime. 3 bedrooms 2.5 bath with attached garage,2026-05-06,1,2,8013 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698147,8013 ERMIS FARM ROAD,NA,Austin,Texas,United States,1,30.189773,-97.808688,1,rooftop,8013 Ermis Farm Rd,NA,"Austin, TX 78745",NA,8013,Ermis Farm Rd,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxdupl7ry2kwt7z7pptr6havsb9,building_centroid
11209 GOLDEN CLOUD BND,New two-story SFR *PRODUCTION BUILDER- GREEN BUILDING*,2026-05-08,1,2,11209 GOLDEN CLOUD BND,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699798,11209 GOLDEN CLOUD BND,NA,Austin,Texas,United States,1,30.329855,-97.570691,1,rooftop,11209 Golden Cloud Bnd,NA,"Manor, TX 78653",NA,11209,Golden Cloud Bnd,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usnj9cej3alsgnfg9qzatprsz4xta,building_centroid
14717 INCH WORM RD,New 1-story single family residence 4 bedroom 2 bath 2 car garage covered patio and porch,2026-05-11,1,2,14717 INCH WORM RD,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700115,14717 INCH WORM ROAD,NA,Austin,Texas,United States,1,30.160328,-97.597095,1,rooftop,14717 Inch Worm Rd,NA,"Del Valle, TX 78617",NA,14717,Inch Worm Rd,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usnl6qketemzujt4y3ksgqgump9yd,building_centroid
13224 KINCANE DR,New 1-story 3 bedroom 2 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-04,1,1,13224 KINCANE DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13538372,13224 KINCANE DRIVE,NA,Austin,Texas,United States,1,30.149821,-97.628088,1,rooftop,13224 Kincane Dr,NA,"Del Valle, TX 78617",NA,13224,Kincane Dr,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usnbhtrypdqfj785na5nxk7yt9a3d,building_centroid
8014 ERMIS FARM RD,New construction of 2 story SFR condo - 3 beds 2.5 baths attached garage covered patio,2026-05-06,1,2,8014 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698054,8014 ERMIS FARM ROAD,NA,Austin,Texas,United States,1,30.189641,-97.808987,1,rooftop,8014 Ermis Farm Rd,NA,"Austin, TX 78745",NA,8014,Ermis Farm Rd,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxdupl7ry2kwt7b43sfm5grn9c8,building_centroid
11004 MYSTIC TIMBER DR,PB: New construction of 1 story sfr - 3 beds 2 baths 2 car garage and covered patio,2026-06-02,1,1,11004 MYSTIC TIMBER DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712606,11004 MYSTIC TIMBER DRIVE,NA,Austin,Texas,United States,1,30.353589,-97.636435,1,rooftop,11004 Mystic Timber Dr,NA,"Austin, TX 78754",NA,11004,Mystic Timber Dr,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn6qj47tglx77aabtk6rvjkm4svg,building_centroid
4006 MONTAGE PASS,*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4206 MONTAGE PASS,2026-06-02,1,3,4006 MONTAGE PASS,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712082,4006 MONTAGE PASS,NA,Austin,Texas,United States,1,30.315112,-97.753189,1,rooftop,4006 Montage Pass,NA,"Austin, TX 78731",NA,4006,Montage Pass,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,City of Austin (Public Domain),gcod_usnwwtrdbx9pdsq268wmlnmgjwsch,building_centroid
1206 MARSHALL LN,New 2-story single family residence 4 bed/4.5 bath with attached carport and covered patio,2026-05-15,1,2,1206 MARSHALL LN,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696987,1206 MARSHALL LANE,NA,Austin,Texas,United States,1,30.280028,-97.757196,1,rooftop,1206 Marshall Ln,NA,"Austin, TX 78703",NA,1206,Marshall Ln,NA,NA,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usnlcawh2u6q6zu8syx28xjzzc6e4,building_centroid
605 E 55TH ST BLDG 3,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 3",2026-05-11,1,2,605 E 55TH ST BLDG 3,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700454,605 EAST 55TH STREET BLDG 3,NA,Austin,Texas,United States,1,30.317744,-97.715812,1,rooftop,605 E 55th St,Bldg 3,"Austin, TX 78751",NA,605,E 55th St,Bldg,3,Austin,TX,NA,Travis County,78751,US,NA,City of Austin (Public Domain),gcod_usn2ccn3qyxjstq749pp9yztgq63a-5dehnqc4jv9aa,building_centroid
8901 PEAFOWL ST,*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-14,1,2,8901 PEAFOWL ST,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13701012,8901 PEAFOWL STREET,NA,Austin,Texas,United States,1,30.143457,-97.711898,1,rooftop,8901 Peafowl St,NA,"Austin, TX 78744",NA,8901,Peafowl St,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usngy7n5rucp2r75ppqr7c2bwctc6,building_centroid
